Incident,Date,Incident Type,Address,Updated
"Fire Displaces Several Occupants From Complex On Luann Lane","02/11/2019","Structure","2100 Block Luann Lane, Madison, WI",""
"Vehicle A Total Loss After Charcoal Placed Underneath It Leads To Fire","01/31/2019","Vehicle","3700 Block Karstens Drive, Madison, WI",""
"Three Become Ill From Carbon Monoxide Leak","01/31/2019","Carbon Monoxide","2100 Block University Avenue, Madison, WI",""
"Attempt To Thaw Pipes Leads To Fire Inside Basement Wall","01/30/2019","Structure","4100 Block Mineral Point Road, Madison, WI",""
"Automatic Fire Sprinkler Keeps Fire Contained At West Side Apartment Complex","01/30/2019","Structure","6700 Block Mader Drive, Madison, WI",""
"Fire Crews Battle House Fire In Bitter Cold Temperatures","01/30/2019","Structure","4800 Block Buckeye Rd, Madison, WI 53716","Updated: 01/31/2019"
"Smoldering Booklet Left On Top Of Furnace Triggers Smoke Detector","01/29/2019","Structure","300 Block S. Park Street, Madison, WI",""
"Pipes Burst Inside Vacant Building On International Lane","01/28/2019","Water Leak","2900 Block International Lane, Madison, WI",""
"Nineteen Residents Displaced By Morning Fire","01/27/2019","Structure","4700 Block Cottage Grove Rd, Madison, WI 53716","Updated: 01/28/2019"
"Nobody Injured After Snow Is Tossed On Pan Of Burning Oil","01/24/2019","Cooking","700 Block N. Thompson Drive, Madison, WI",""
"Automatic Sprinkler Extinguishes Fire, Contains Damage In UW Campus Building","01/21/2019","Alarm Investigation","1500 Block Engineering Drive, Madison, WI",""
"Crews Called To Investigate Smoke Inside Northside McDonald's","01/21/2019","Smoke Scare","2900 Block Dryden Drive, Madison, WI",""
"Four Rescued From Campus-Area Elevator","01/19/2019","Elevator","300 Block N. Lake Street, Madison, WI 53706",""
"Cracked Candle Leaks Wax, Starts Fire In East Side Apartment","01/18/2019","Candle","1000 Block Spaight Street, Madison, WI",""
"Vehicle Strikes House, Ruptures Gas Line, Prompting Temporary Evacuation On Near East Side","01/17/2019","Gas Leak","1000 Block E. Dayton Street, Madison, WI",""
"Engine 1 Called To Investigate Gas Leak In Downtown Apartment","01/11/2019","Gas Leak","500 Block W. Wilson Street, Madison, WI 53703",""
"Tarps and Wood Catch Fire Outside West Side Home","01/10/2019","Outdoor","800 Block Blue Aster Trail, Madison, WI",""
"Winds Cause Garage Fire to Spread to House","01/08/2019","Structure","700 Block Dempsey, Madison, WI 53714","Updated: 01/15/2019"
"Bumped Burner Ignites Air Fryer, Sending Engine 9 To West Side Home","01/07/2019","Cooking","600 Block N. Blackhawk Drive, Madison, WI",""
"Lake Rescue Team Called To Lake Monona Overnight","01/04/2019","Lake Rescue","Lake Monona, Madison, WI",""
"Nobody Displaced Following Cooking Fire On Catalpa Circle","01/01/2019","Cooking","Catalpa Circle, Madison, WI",""
"Man Rescued From Lake Monona After Wandering Onto Thin Ice","12/26/2018","Lake Rescue","Lake Monona, Madison, WI",""
"Paramedics Revive Pulseless Semi Driver On Christmas Eve","12/24/2018","EMS","Westgate Mall, Madison, WI",""
"Vehicle Fire Extinguished Early By Gas Station Employee","12/23/2018","Vehicle","2500 Block Fish Hatchery Road, Madison, WI",""
"Overheated Oil Leads To Cooking Fire","12/20/2018","Cooking","7700 Block Carrington Ave, Madison, WI",""
"Propane Torch Test Linked To Vehicle Fire In Mall Parking Lot","12/19/2018","Vehicle","400 Block N. Midvale Blvd, Madison, WI",""
"Paramedics Assist Man Needing Oxygen In Wake Of Power Outage","12/18/2018","Assist Citizen","Lakeview Hills Neighborhood, Madison, WI 53704",""
"One Critically Injured In Single-Vehicle Crash","12/18/2018","Vehicle","Wheeler Rd. & School Rd, Madison, WI",""
"Fire in West Side Home Displaces 5 People","12/14/2018","Structure","5900 Block Meadowood Drive, Madison, WI",""
"Engine 5 Called To Check On Garbage Truck After Contents Catch Fire","12/12/2018","Vehicle","US Hwy 12 Eastbound & I-90 Westbound, Madison, WI",""
