Incident,Date,Incident Type,Address,Time
"Smoke Scare Inside Downtown Bar Traced To Arcade Games","03/08/2019","Smoke Scare","500 Block W. Main Street, Madison, WI","2019-03-08T21:25:00-06:00"
"Engine 8 Responds To Vehicle Fire On Highway 30","03/08/2019","Vehicle","Highway 30 westbound, Madison, WI","2019-03-08T16:28:00-06:00"
"Driver Uninjured In Northside Rollover Crash","03/04/2019","Vehicle","Northport Drive & Kennedy Road, Madison, WI","2019-03-04T05:14:00-06:00"
"Family Escapes Early Morning Home Fire","02/27/2019","Structure","2600 Block Frazier Avenue, Madison, WI","2019-02-27T04:47:00-06:00"
"MFD & MGE Investigating Natural Gas Odor On West Side","02/26/2019","Gas Leak","N. High Point Road & Old Sauk Road, Madison, WI","2019-02-26T11:59:00-06:00"
"Fire In Chamberlin Hall Caught By Automatic Fire Sprinkler","02/20/2019","Structure","1100 Block University Avenue, Madison, WI","2019-02-20T23:06:00-06:00"
"Mysterious Smoke In East-Side Apartment Traced To Burned Food Downstairs","02/19/2019","Cooking","400 Block S. Livingston Street, Madison, WI","2019-02-19T00:48:00-06:00"
"Sparks Fly, Igniting Couch Cushion In West Side Apartment","02/18/2019","Electrical","7000 Block Tree Lane, Madison, WI","2019-02-18T21:13:00-06:00"
"Mysterious Symptoms Lead Firefighters To Find Man 'Practicing With Pepper Spray'","02/14/2019","Hazmat","2300 Block Talc Trail, Madison, WI","2019-02-14T18:51:00-06:00"
"Woman Falls Through Ice Into Waist-Deep Water Near Spring Harbor Park","02/14/2019","Lake Rescue","Lake Mendota, Madison, WI","2019-02-14T12:19:00-06:00"
"Fire On Franklin Avenue Traced To Discarded Cigarettes","02/12/2019","Smoking","10 Block N. Franklin Ave, Madison, WI","2019-02-12T14:55:00-06:00"
"Ladder 7 Responds To Vehicle Fire At West Towne Mall","02/12/2019","Vehicle","10 Block West Towne Mall, Madison, WI","2019-02-12T12:43:00-06:00"
"Fire Displaces Several Occupants From Complex On Luann Lane","02/11/2019","Structure","2100 Block Luann Lane, Madison, WI","2019-02-11T14:34:00-06:00"
"Vehicle A Total Loss After Charcoal Placed Underneath It Leads To Fire","01/31/2019","Vehicle","3700 Block Karstens Drive, Madison, WI","2019-01-31T12:37:00-06:00"
"Three Become Ill From Carbon Monoxide Leak","01/31/2019","Carbon Monoxide","2100 Block University Avenue, Madison, WI","2019-01-31T12:28:00-06:00"
"Attempt To Thaw Pipes Leads To Fire Inside Basement Wall","01/30/2019","Structure","4100 Block Mineral Point Road, Madison, WI","2019-01-30T18:05:00-06:00"
"Automatic Fire Sprinkler Keeps Fire Contained At West Side Apartment Complex","01/30/2019","Structure","6700 Block Mader Drive, Madison, WI","2019-01-30T14:27:00-06:00"
"Fire Crews Battle House Fire In Bitter Cold Temperatures","01/30/2019","Structure","4800 Block Buckeye Rd, Madison, WI 53716","2019-01-30T02:59:00-06:00"
"Smoldering Booklet Left On Top Of Furnace Triggers Smoke Detector","01/29/2019","Structure","300 Block S. Park Street, Madison, WI","2019-01-29T06:37:00-06:00"
"Pipes Burst Inside Vacant Building On International Lane","01/28/2019","Water Leak","2900 Block International Lane, Madison, WI","2019-01-28T09:29:00-06:00"
"Nineteen Residents Displaced By Morning Fire","01/27/2019","Structure","4700 Block Cottage Grove Rd, Madison, WI 53716","2019-01-27T06:07:00-06:00"
"Nobody Injured After Snow Is Tossed On Pan Of Burning Oil","01/24/2019","Cooking","700 Block N. Thompson Drive, Madison, WI","2019-01-24T19:32:00-06:00"
"Automatic Sprinkler Extinguishes Fire, Contains Damage In UW Campus Building","01/21/2019","Alarm Investigation","1500 Block Engineering Drive, Madison, WI","2019-01-21T13:07:00-06:00"
"Crews Called To Investigate Smoke Inside Northside McDonald's","01/21/2019","Smoke Scare","2900 Block Dryden Drive, Madison, WI","2019-01-21T00:51:00-06:00"
"Four Rescued From Campus-Area Elevator","01/19/2019","Elevator","300 Block N. Lake Street, Madison, WI 53706","2019-01-19T12:39:00-06:00"
