Incident,Date,Incident Type,Address,Longitude,Latitude,Time,Response
"Construction Worker Transported To Hospital With Life-Threatening Injuries","04/17/2019","EMS","Di Loreto Avenue & Creekwood Lane, Madison, WI","-89.306834","43.144731","2019-04-17T08:17:00-05:00","0:05:00"
"Downtown Apartment Building Evacuated During Early-Morning Fire","04/15/2019","Structure","200 Block N. Frances Street, Madison, WI","-89.395906","43.070885","2019-04-15T02:32:00-05:00","0:05:00"
"Structural Collapse Displaces 42 Units At Summit Hill Apartments","04/08/2019","Structure","1200 Block McKenna Blvd, Madison, WI","-89.504970","43.041072","2019-04-08T15:42:00-05:00","0:04:00"
"Deli Fire on Atwood Ave.","04/07/2019","Structure","2700 Block Atwood Ave, Madison, WI","-89.344584","43.093935","2019-04-07T20:31:00-05:00","0:04:00"
"Three Taken To Hospital Following Crash On East Washington Ave.","04/07/2019","Vehicle","East Washington Ave. & Zeier Rd, Madison, WI","-89.305701","43.129591","2019-04-07T10:50:00-05:00","0:03:00"
"Sprinkler Holds Fire In Check Until Passerby Reports Smoke At East Towne Restaurant","04/05/2019","Structure","1700 Block Parkside Drive, Madison, WI","-89.315187","43.120994","2019-04-05T02:31:00-05:00","0:06:00"
"Power Pole Hit, Passing Vehicle Struck By Live Wire On Hoboken Road","04/04/2019","Electrical","5300 Block Hoboken Road, Madison, WI","-89.347612","43.050084","2019-04-04T08:33:00-05:00","0:07:00"
"Oily Rags, Cigarettes Likely Factors In West Side Basement Fire","03/31/2019","Structure","Shefford Circle, Madison, WI","-89.500204","43.020958","2019-03-31T20:10:00-05:00","0:05:00"
"Fire From Discarded Cigarette Caught Early Thanks To Kid Who Alerted Firefighters","03/31/2019","Smoking","1500 Block Troy Drive, Madison, WI","-89.369096","43.133295","2019-03-31T14:27:00-05:00","0:00:00"
"Fire Extinguished After Open-Flame Warming Device Falls Into Trash","03/30/2019","Trash/Rubbish","600 Block Howard Place, Madison, WI","-89.393687","43.075949","2019-03-30T13:11:00-05:00","0:03:00"
"Unwanted Belongings Set On Fire Outside Storage Facility","03/29/2019","Outdoor","3300 Block Femrite Drive , Madison, WI","-89.256558","43.052446","2019-03-29T08:36:00-05:00","0:10:00"
"Fire sprinkler Extinguishes Grease Fire","03/19/2019","Structure","3500 Block Anderson Street, Madison, WI 53704","-89.327945","43.120119","2019-03-19T19:33:00-05:00","0:05:00"
"Firefighters Respond to Smoke Coming from 5th Floor Apartment; Find Burned Food","03/17/2019","Excessive heat/scorch","1400 Block Monroe Street, Madison, WI 53711","-89.409174","43.070096","2019-03-17T21:54:00-05:00","0:06:00"
"Person Found Unresponsive On Lake Mendota Taken To Hospital","03/15/2019","EMS","Lake Mendota, Madison, WI","-89.420608","43.109671","2019-03-15T06:01:00-05:00","0:05:00"
"Smoke Scare Inside Downtown Bar Traced To Arcade Games","03/08/2019","Smoke Scare","500 Block W. Main Street, Madison, WI","-89.389577","43.069248","2019-03-08T21:25:00-06:00","0:03:00"
"Engine 8 Responds To Vehicle Fire On Highway 30","03/08/2019","Vehicle","Highway 30 westbound, Madison, WI","-89.338691","43.107416","2019-03-08T16:28:00-06:00","0:07:00"
"Driver Uninjured In Northside Rollover Crash","03/04/2019","Vehicle","Northport Drive & Kennedy Road, Madison, WI","-89.388102","43.139926","2019-03-04T05:14:00-06:00","0:04:00"
"Family Escapes Early Morning Home Fire","02/27/2019","Structure","2600 Block Frazier Avenue, Madison, WI","-89.354553","43.047223","2019-02-27T04:47:00-06:00","0:08:00"
"MFD & MGE Investigating Natural Gas Odor On West Side","02/26/2019","Gas Leak","N. High Point Road & Old Sauk Road, Madison, WI","-89.518712","43.075051","2019-02-26T11:59:00-06:00","1:21:00"
"Fire In Chamberlin Hall Caught By Automatic Fire Sprinkler","02/20/2019","Structure","1100 Block University Avenue, Madison, WI","-89.404278","43.073629","2019-02-20T23:06:00-06:00","0:06:00"
"Mysterious Smoke In East-Side Apartment Traced To Burned Food Downstairs","02/19/2019","Cooking","400 Block S. Livingston Street, Madison, WI","-89.371474","43.078222","2019-02-19T00:48:00-06:00","0:04:00"
"Sparks Fly, Igniting Couch Cushion In West Side Apartment","02/18/2019","Electrical","7000 Block Tree Lane, Madison, WI","-89.502797","43.065598","2019-02-18T21:13:00-06:00","0:04:00"
"Mysterious Symptoms Lead Firefighters To Find Man 'Practicing With Pepper Spray'","02/14/2019","Hazmat","2300 Block Talc Trail, Madison, WI","-89.532423","43.027786","2019-02-14T18:51:00-06:00","0:10:00"
"Woman Falls Through Ice Into Waist-Deep Water Near Spring Harbor Park","02/14/2019","Lake Rescue","Lake Mendota, Madison, WI","-89.420608","43.109671","2019-02-14T12:19:00-06:00","0:06:00"
"Fire On Franklin Avenue Traced To Discarded Cigarettes","02/12/2019","Smoking","10 Block N. Franklin Ave, Madison, WI","-89.436279","43.068531","2019-02-12T14:55:00-06:00","0:05:00"
"Ladder 7 Responds To Vehicle Fire At West Towne Mall","02/12/2019","Vehicle","10 Block West Towne Mall, Madison, WI","-89.509318","43.057090","2019-02-12T12:43:00-06:00","0:03:00"
"Fire Displaces Several Occupants From Complex On Luann Lane","02/11/2019","Structure","2100 Block Luann Lane, Madison, WI","-89.415253","43.032773","2019-02-11T14:34:00-06:00","0:05:00"
"Vehicle A Total Loss After Charcoal Placed Underneath It Leads To Fire","01/31/2019","Vehicle","3700 Block Karstens Drive, Madison, WI","-89.387305","43.133781","2019-01-31T12:37:00-06:00","0:05:00"
"Three Become Ill From Carbon Monoxide Leak","01/31/2019","Carbon Monoxide","2100 Block University Avenue, Madison, WI","-89.421616","43.072750","2019-01-31T12:28:00-06:00","0:07:00"
"Attempt To Thaw Pipes Leads To Fire Inside Basement Wall","01/30/2019","Structure","4100 Block Mineral Point Road, Madison, WI","-89.443924","43.060724","2019-01-30T18:05:00-06:00","0:05:00"
