Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
50 -  LIBRARY,50300 - LIB COL RES & ACCESS,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(2,056,164)"," 	(2,222,626)"," 	(2,199,357)"," 	(2,268,969)"
50 -  LIBRARY,50400 - LIB FACILITIES,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(1,766,869)"," 	(1,768,986)"," 	(1,963,404)"," 	(1,976,738)"
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Revenue,49 - TRANSFER IN,49124 - TRANSFER IN FROM OTHER RESTRIC," 	(1,000,000)"," 	(2,500,000)"," 	(3,100,342)", 	-   
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43445 - SALE OF RECYCLABLES," 	(841,013)"," 	(866,761)"," 	(1,218,608)"," 	(892,803)"
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS," 	(683,795)"," 	(809,851)", 	-   , 	-   
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Revenue,43 - CHARGES FOR SERVICES,43120 - COURT FEES," 	(640,287)"," 	(624,341)"," 	(515,025)"," 	(421,900)"
30 -  FIRE,30252 - FIRE INSPECTION ELEVATOR,Revenue,44 - LICENSES AND PERMITS,44230 - ELEVATOR PERMITS AND INSPECTS," 	(617,670)"," 	(606,447)"," 	(534,775)"," 	(555,937)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58131 - ID BILLING TO POLICE," 	(531,289)"," 	(533,701)"," 	(536,303)"," 	(611,303)"
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43568 - CATALOGING SERVICES," 	(455,858)"," 	(454,255)"," 	(454,255)"," 	(454,290)"
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,44 - LICENSES AND PERMITS,44245 - FIRE PERMITS," 	(396,640)"," 	(416,396)"," 	(401,755)"," 	(553,480)"
00 -  UNDEFINED,110020 - GENERAL FUND EXPENSE,Expense,56 - DEBT OTHR FINANCING,56210 - INTEREST," 	(373,356)"," 	9,720 ", 	-   , 	-   
31 -  POLICE,31100 - POLICE FIELD,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING," 	(322,132)"," 	(395,158)"," 	(353,798)"," 	(305,447)"
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Revenue,45 - FINE FORFEITURE ASMT,45310 - SPEC ASSESSMENTS SERVICE," 	(319,298)"," 	(440,190)"," 	(446,180)", 	-   
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,45 - FINE FORFEITURE ASMT,45210 - LIBRARY FINES," 	(298,454)"," 	(288,495)"," 	(284,247)"," 	(258,667)"
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(283,245)"," 	(187,679)"," 	(293,240)"," 	(159,334)"
50 -  LIBRARY,50200 - LIB COMM ENGAGE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(274,766)"," 	(355,596)"," 	(149,024)"," 	(452,875)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE," 	(265,583)"," 	(36,300)"," 	(14,248)"," 	(42,654)"
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43562 - SOUTHCENTRAL LIBRARY SERVICES," 	(264,093)"," 	(266,184)"," 	(266,184)"," 	(266,184)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE," 	(249,692)"," 	(278,213)"," 	(278,163)"," 	(278,163)"
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(247,200)"," 	(246,400)"," 	(277,600)"," 	(312,000)"
31 -  POLICE,31101 - SPECIAL DUTY,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY," 	(231,473)"," 	(300,180)"," 	(438,738)"," 	(421,503)"
31 -  POLICE,31100 - POLICE FIELD,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS," 	(225,777)", 	-   , 	-   , 	-   
44 -  STREETS,44111 - ST LARGE ITEMS,Revenue,43 - CHARGES FOR SERVICES,43420 - APPLIANCE COLLECTION," 	(207,961)"," 	(266,092)"," 	(282,498)"," 	(253,945)"
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Revenue,43 - CHARGES FOR SERVICES,43515 - BOAT LAUNCH," 	(205,919)"," 	(3,604)", 	-   , 	-   
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,58 - INTER DEPART BILLING,58116 - ID BILLING TO HUMAN RESOURCES," 	(194,523)"," 	(203,142)"," 	(203,142)", 	-   
44 -  STREETS,44223 - ST BRUSH COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43425 - REFUSE COLLECTION," 	(181,823)"," 	(69,221)", 	(799)," 	(1,037)"
31 -  POLICE,31280 - INFO MGT AND TECHNOLOGY,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING," 	(179,751)"," 	(147,380)"," 	(170,766)"," 	(158,646)"
51 -  PARKS,51242 - PARK MTC WEST PARKS,Revenue,49 - TRANSFER IN,49150 - TRANSFER IN FROM PERMANENT," 	(175,000)"," 	(175,000)"," 	(175,000)", 	-   
31 -  POLICE,31100 - POLICE FIELD,Revenue,43 - CHARGES FOR SERVICES,43220 - POLICE SERVICES," 	(161,784)"," 	(269,510)"," 	(314,056)"," 	(175,048)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(125,585)"," 	(97,124)"," 	(4,965)", 	-   
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS," 	(121,590)"," 	(132,131)"," 	(114,903)"," 	(123,753)"
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(121,124)"," 	(117,100)"," 	(126,671)"," 	(83,492)"
31 -  POLICE,31166 - TRAINING CENTER,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(110,527)"," 	(112,996)"," 	(95,257)"," 	(59,306)"
