2019 Authorized Budget,,,,,March ,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,January,,,,February,,,,March,,,,April,,,,May ,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
1,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	154,755 ",3504,ASST CITY ATTY, 	1.00 ," 	143,627 ",3504,ASST CITY ATTY,1.00," 	143,627 ",3504,ASST CITY ATTY,1.00," 	143,627 ",3504,ASST CITY ATTY,1," 	143,627 ",3504,ASST CITY ATTY,1," 	146,500 ",3504,ASST CITY ATTY,1," 	146,500 ",3504,ASST CITY ATTY,1," 	146,500 ",3504,ASST CITY ATTY,1," 	146,500 ",3504,ASST CITY ATTY,1," 	146,500 ",3504,ASST CITY ATTY,1," 	147,965 ",3504,ASST CITY ATTY, 	1.00 ," 	147,965 ",3504,ASST CITY ATTY, 	1.00 ," 	147,965 ",3504,ASST CITY ATTY, 	1.00 ," 	147,965 ",3504,ASST CITY ATTY, 	1.00 ," 	147,965 ",3504,ASST CITY ATTY, 	1.00 ," 	147,965 ",3504,ASST CITY ATTY, 	1.00 ," 	147,965 ",3504,ASST CITY ATTY, 	1.00 ," 	149,310 ",3504,ASST CITY ATTY, 	1.00 ," 	149,310 ",3504,ASST CITY ATTY,1," 	149,310 ",3504,ASST CITY ATTY,1," 	149,310 ",3504,ASST CITY ATTY,1," 	149,310 ",3504,ASST CITY ATTY, 	1.00 ," 	154,162 ",3504,ASST CITY ATTY-23, 	1.00 ," 	154,162 ",3504,ASST CITY ATTY-23, 	1.00 ," 	154,162 "
2,LITIGATION ASST 1, 	1.00 ,ATTORNEY," 	71,788 ",2114,LITIGATION ASST 1, 	1.00 ," 	67,232 ",2114,LITIGATION ASST 1,1.00," 	67,232 ",2114,LITIGATION ASST 1,1.00," 	67,232 ",2114,LITIGATION ASST 1,1," 	67,232 ",2114,LITIGATION ASST 1,1," 	68,577 ",2114,LITIGATION ASST 1,1," 	68,577 ",2114,LITIGATION ASST 1,1," 	68,577 ",2114,LITIGATION ASST 1,1," 	68,577 ",2114,LITIGATION ASST 1,1," 	68,577 ",2114,LITIGATION ASST 1,1," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	69,262 ",2114,LITIGATION ASST 1,1," 	69,262 ",2114,LITIGATION ASST 1,1," 	69,262 ",2114,LITIGATION ASST 1,1," 	69,262 ",2114,LITIGATION ASST 1, 	1.00 ," 	71,513 ",2114,LITIGATION ASST 1-17, 	1.00 ," 	71,513 ",2114,LITIGATION ASST 1-17, 	1.00 ," 	71,513 "
3,CLERK-TYP 2, 	1.00 ,ATTORNEY," 	52,210 ",1351,CLERK-TYP 2, 	1.00 ," 	48,896 ",1351,CLERK-TYP 2,1.00," 	48,896 ",1351,CLERK-TYP 2,1.00," 	48,896 ",1351,CLERK-TYP 2,1," 	48,896 ",1351,CLERK-TYP 2,1," 	49,874 ",1351,CLERK-TYP 2,1," 	49,874 ",1351,CLERK-TYP 2,1," 	49,874 ",1351,CLERK-TYP 2,1," 	49,874 ",1351,CLERK-TYP 2,1," 	49,874 ",1351,CLERK-TYP 2,1," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	50,373 ",1351,CLERK-TYP 2,1," 	50,373 ",1351,CLERK-TYP 2,1," 	50,373 ",1351,CLERK-TYP 2,1," 	50,373 ",1351,CLERK-TYP 2, 	1.00 ," 	52,010 ",1351,CLERK-TYP 2-20, 	1.00 ," 	52,010 ",1351,CLERK-TYP 2-20, 	1.00 ," 	52,010 "
4,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	154,755 ",3630,ASST CITY ATTY, 	1.00 ," 	144,933 ",3630,ASST CITY ATTY,1.00," 	144,933 ",3630,ASST CITY ATTY,1.00," 	144,933 ",3630,ASST CITY ATTY,1," 	144,933 ",3630,ASST CITY ATTY,1," 	147,832 ",3630,ASST CITY ATTY,1," 	147,832 ",3630,ASST CITY ATTY,1," 	147,832 ",3630,ASST CITY ATTY,1," 	147,832 ",3630,ASST CITY ATTY,1," 	147,832 ",3630,ASST CITY ATTY,1," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	149,310 ",3630,ASST CITY ATTY,1," 	149,310 ",3630,ASST CITY ATTY,1," 	149,310 ",3630,ASST CITY ATTY,1," 	149,310 ",3630,ASST CITY ATTY, 	1.00 ," 	154,162 ",3630,ASST CITY ATTY-23, 	1.00 ," 	154,162 ",3630,ASST CITY ATTY-23, 	1.00 ," 	154,162 "
6,SECRETARY 3-LEGAL, 	1.00 ,ATTORNEY," 	64,233 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	59,614 ",3074,SECRETARY 3-LEGAL,1.00," 	59,614 ",3074,SECRETARY 3-LEGAL,1.00," 	59,614 ",3074,SECRETARY 3-LEGAL,1," 	60,156 ",3074,SECRETARY 3-LEGAL,1," 	61,359 ",3074,SECRETARY 3-LEGAL,1," 	61,359 ",3074,SECRETARY 3-LEGAL,1," 	61,359 ",3074,SECRETARY 3-LEGAL,1," 	61,359 ",3074,SECRETARY 3-LEGAL,1," 	61,359 ",3074,SECRETARY 3-LEGAL,1," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 ",3074,SECRETARY 3-LEGAL,1," 	61,973 ",3074,SECRETARY 3-LEGAL,1," 	61,973 ",3074,SECRETARY 3-LEGAL,1," 	61,973 ",3074,SECRETARY 3-LEGAL, 	1.00 ," 	63,987 ",3074,SECRETARY 3-LEGAL-17, 	1.00 ," 	63,987 ",3074,SECRETARY 3-LEGAL-17, 	1.00 ," 	63,987 "
7,ATTY CITY, 	1.00 ,ATTORNEY," 	169,272 ",2963,ATTY CITY, 	1.00 ," 	160,114 ",2963,ATTY CITY,1.00," 	160,114 ",2963,ATTY CITY,1.00," 	160,114 ",2963,ATTY CITY,1," 	160,114 ",2963,ATTY CITY,1," 	163,316 ",2963,ATTY CITY,1," 	163,316 ",2963,ATTY CITY,1," 	163,316 ",2963,ATTY CITY,1," 	163,316 ",2963,ATTY CITY,1," 	163,316 ",2963,ATTY CITY,1," 	163,316 ",2963,ATTY CITY, 	1.00 ," 	163,316 ",2963,ATTY CITY, 	1.00 ," 	164,949 ",2963,ATTY CITY, 	1.00 ," 	164,949 ",2963,ATTY CITY, 	1.00 ," 	164,949 ",2963,ATTY CITY, 	1.00 ," 	164,949 ",2963,ATTY CITY, 	1.00 ," 	164,949 ",2963,ATTY CITY, 	1.00 ," 	164,949 ",2963,ATTY CITY, 	1.00 ," 	164,949 ",2963,ATTY CITY,1," 	164,949 ",2963,ATTY CITY,1," 	164,949 ",2963,ATTY CITY,1," 	164,949 ",2963,ATTY CITY, 	1.00 ," 	164,949 ",2963,ATTY CITY-21, 	1.00 ," 	164,949 ",2963,ATTY CITY-21, 	1.00 ," 	170,310 "
9,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	94,379 ",3669,ASST CITY ATTY, 	1.00 ," 	77,420 ",3669,ASST CITY ATTY,1.00," 	77,420 ",3669,ASST CITY ATTY,1.00," 	77,420 ",3669,ASST CITY ATTY,1," 	77,420 ",3669,ASST CITY ATTY,1," 	78,969 ",3669,ASST CITY ATTY,1," 	78,969 ",3669,ASST CITY ATTY,1," 	81,338 ",3669,ASST CITY ATTY,1," 	81,338 ",3669,ASST CITY ATTY,1," 	81,338 ",3669,ASST CITY ATTY,1," 	82,151 ",3669,ASST CITY ATTY, 	1.00 ," 	82,151 ",3669,ASST CITY ATTY, 	1.00 ," 	82,151 ",3669,ASST CITY ATTY, 	1.00 ," 	86,748 ",3669,ASST CITY ATTY, 	1.00 ," 	86,748 ",3669,ASST CITY ATTY, 	1.00 ," 	86,748 ",3669,ASST CITY ATTY, 	1.00 ," 	86,748 ",3669,ASST CITY ATTY, 	1.00 ," 	86,748 ",3669,ASST CITY ATTY, 	1.00 ," 	86,748 ",3669,ASST CITY ATTY,1," 	86,748 ",3669,ASST CITY ATTY,1," 	86,748 ",3669,ASST CITY ATTY,1," 	86,748 ",3669,ASST CITY ATTY, 	1.00 ," 	89,567 ",3669,ASST CITY ATTY-23, 	1.00 ," 	89,567 ",3669,ASST CITY ATTY-23, 	1.00 ," 	89,567 "
10,LEGAL OFFICE ASST, 	1.00 ,ATTORNEY," 	51,323 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	48,065 ",1121,LEGAL OFFICE ASST,1.00," 	48,065 ",1121,LEGAL OFFICE ASST,1.00," 	48,065 ",1121,LEGAL OFFICE ASST,1," 	48,065 ",1121,LEGAL OFFICE ASST,1," 	49,026 ",1121,LEGAL OFFICE ASST,1," 	49,026 ",1121,LEGAL OFFICE ASST,1," 	49,026 ",1121,LEGAL OFFICE ASST,1," 	49,026 ",1121,LEGAL OFFICE ASST,1," 	49,026 ",1121,LEGAL OFFICE ASST,1," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 ",1121,LEGAL OFFICE ASST,1," 	49,517 ",1121,LEGAL OFFICE ASST,1," 	49,517 ",1121,LEGAL OFFICE ASST,1," 	49,517 ",1121,LEGAL OFFICE ASST, 	1.00 ," 	51,126 ",1121,LEGAL OFFICE ASST-20, 	1.00 ," 	51,126 ",1121,LEGAL OFFICE ASST-20, 	1.00 ," 	51,126 "
11,SECRETARY 2-LEGAL, 	1.00 ,ATTORNEY," 	57,700 ",2665,SECRETARY 2-LEGAL, 	1.00 ," 	54,038 ",2665,SECRETARY 2-LEGAL,1.00," 	54,038 ",2665,SECRETARY 2-LEGAL,1.00," 	54,038 ",2665,SECRETARY 2-LEGAL,1," 	54,038 ",2665,SECRETARY 2-LEGAL,1," 	55,118 ",2665,SECRETARY 2-LEGAL,1," 	55,118 ",2665,SECRETARY 2-LEGAL,1," 	55,118 ",2665,SECRETARY 2-LEGAL,1," 	55,118 ",2665,SECRETARY 2-LEGAL,1," 	55,118 ",2665,SECRETARY 2-LEGAL,1," 	55,670 ",2665,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",2665,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",2665,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",2665,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",2665,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",2665,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",2665,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 ",VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT
15,ASST CITY ATTY, 	1.00 ,ATTORNEY," 	98,339 ",1381,ASST CITY ATTY, 	1.00 ," 	79,743 ",1381,ASST CITY ATTY,1.00," 	84,205 ",1381,ASST CITY ATTY,1.00," 	84,205 ",1381,ASST CITY ATTY,1," 	84,205 ",1381,ASST CITY ATTY,1," 	85,889 ",1381,ASST CITY ATTY,1," 	85,889 ",1381,ASST CITY ATTY,1," 	85,889 ",1381,ASST CITY ATTY,1," 	85,889 ",1381,ASST CITY ATTY,1," 	85,889 ",1381,ASST CITY ATTY,1," 	86,748 ",1381,ASST CITY ATTY, 	1.00 ," 	86,748 ",1381,ASST CITY ATTY, 	1.00 ," 	86,748 ",1381,ASST CITY ATTY, 	1.00 ," 	86,748 ",1381,ASST CITY ATTY, 	1.00 ," 	86,748 ",1381,ASST CITY ATTY, 	1.00 ," 	91,618 ",1381,ASST CITY ATTY, 	1.00 ," 	91,618 ",1381,ASST CITY ATTY, 	1.00 ," 	91,618 ",1381,ASST CITY ATTY, 	1.00 ," 	91,618 ",1381,ASST CITY ATTY,1," 	91,618 ",1381,ASST CITY ATTY,1," 	91,618 ",1381,ASST CITY ATTY,1," 	91,618 ",1381,ASST CITY ATTY, 	1.00 ," 	94,596 ",1381,ASST CITY ATTY-23, 	1.00 ," 	94,596 ",1381,ASST CITY ATTY-23, 	1.00 ," 	94,596 "
