Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-11355535,-11941627,-12603779,-13080447.9
50 -  LIBRARY,50300 - LIB COL RES & ACCESS,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-2056164,-2222626,-2199357,-2268968.77
50 -  LIBRARY,50400 - LIB FACILITIES,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-1766869,-1768986,-1963404,-1976738.18
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Revenue,49 - TRANSFER IN,49124 - TRANSFER IN FROM OTHER RESTRIC,-1000000,-2500000,-3100342.25,0
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43445 - SALE OF RECYCLABLES,-841012.69,-866760.77,-1218608.41,-892803.25
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-683795.41,-809850.95,0,0
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Revenue,43 - CHARGES FOR SERVICES,43120 - COURT FEES,-640286.53,-624340.58,-515025.37,-421899.96
30 -  FIRE,30252 - FIRE INSPECTION ELEVATOR,Revenue,44 - LICENSES AND PERMITS,44230 - ELEVATOR PERMITS AND INSPECTS,-617670,-606446.5,-534775,-555936.5
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58131 - ID BILLING TO POLICE,-531289,-533701,-536303,-611303
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43568 - CATALOGING SERVICES,-455858,-454255,-454255,-454290
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,44 - LICENSES AND PERMITS,44245 - FIRE PERMITS,-396640,-416396.06,-401755,-553480
00 -  UNDEFINED,110020 - GENERAL FUND EXPENSE,Expense,56 - DEBT OTHR FINANCING,56210 - INTEREST,-373356.21,9720,0,0
31 -  POLICE,31100 - POLICE FIELD,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-322131.73,-395157.67,-353798.47,-305447.17
51 -  PARKS,51244 - PARK MTC MALL CONCOURSE,Revenue,45 - FINE FORFEITURE ASMT,45310 - SPEC ASSESSMENTS SERVICE,-319297.72,-440190.38,-446179.57,0
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,45 - FINE FORFEITURE ASMT,45210 - LIBRARY FINES,-298453.79,-288495.11,-284246.8,-258666.56
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-283244.78,-187678.92,-293240.4,-159333.55
50 -  LIBRARY,50200 - LIB COMM ENGAGE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-274766,-355596,-149024,-452874.92
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE,-265582.98,-36300.3,-14247.58,-42653.58
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43562 - SOUTHCENTRAL LIBRARY SERVICES,-264093,-266184,-266184,-266184
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE,-249692,-278213,-278163,-278163
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-247200,-246400,-277600,-312000
31 -  POLICE,31101 - SPECIAL DUTY,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY,-231472.68,-300180.37,-438737.93,-421502.68
31 -  POLICE,31100 - POLICE FIELD,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-225776.85,0,0,0
44 -  STREETS,44111 - ST LARGE ITEMS,Revenue,43 - CHARGES FOR SERVICES,43420 - APPLIANCE COLLECTION,-207961.49,-266092,-282497.75,-253944.85
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Revenue,43 - CHARGES FOR SERVICES,43515 - BOAT LAUNCH,-205919.23,-3604.11,0,0
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,58 - INTER DEPART BILLING,58116 - ID BILLING TO HUMAN RESOURCES,-194523,-203142,-203142,0
44 -  STREETS,44223 - ST BRUSH COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43425 - REFUSE COLLECTION,-181823.04,-69220.5,-799,-1037
31 -  POLICE,31280 - INFO MGT AND TECHNOLOGY,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-179751.21,-147379.7,-170765.77,-158646.39
51 -  PARKS,51242 - PARK MTC WEST PARKS,Revenue,49 - TRANSFER IN,49150 - TRANSFER IN FROM PERMANENT,-175000,-175000,-175000,0
31 -  POLICE,31100 - POLICE FIELD,Revenue,43 - CHARGES FOR SERVICES,43220 - POLICE SERVICES,-161783.71,-269510.32,-314055.56,-175048.01
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-125585.31,-97123.69,-4965.37,0
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS,-121590.12,-132131.1,-114902.54,-123753.33
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-121124.26,-117099.57,-126670.68,-83492.24
31 -  POLICE,31166 - TRAINING CENTER,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-110526.55,-112996.4,-95257,-59305.92
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER,-108871,-107868,-111504,-119700
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT,-107060,-103020,-110292,-114660
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-105113.23,0,0,0
19 -  MAYOR,19100 - MAYOR,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-102500,0,0,0
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58191 - ID BILLING TO CDA,-101284,-104469,-103487,-113746
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-100965.4,-72886.41,-82178,-69467
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-98667.63,-118625.11,-121096.83,-114527.7
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-95362.5,-103890,-92455,-135418.5
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58140 - ID BILLING TO ENGINEERING,-95278.75,-1667.07,-188.13,-550
31 -  POLICE,31149 - TASK FORCE,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-95115.96,-1871.05,0,0
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,58 - INTER DEPART BILLING,58120 - ID BILLING TO MUNICIPAL COURT,-91643,0,0,0
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-91313.9,-179816.06,-107281.76,-80188.04
