MetroID,Notes,OBJECTID,Type,coordinates,stop_id,stop_lat,stop_lon,stop_name
581.0,Relo back from ns Charter,1,,"[-89.4067258292439, 43.072085410950756]",91002.0,43.07208541,-89.40672583,EB W JOHNSON fs ORCHARD
,,2,,"[-89.39889106559133, 43.07198547024096]",91003.0,43.07198547,-89.39889107,EB W JOHNSON fs E CAMPUS MALL
883.0,,3,,"[-89.3882599703234, 43.07470505644012]",91005.0,43.07470506,-89.38825997,EB STATE ns FAIRCHILD 
1101.0,,4,,"[-89.38385397193187, 43.0733250570924]",91006.0,43.07332506,-89.38385397,EB MAIN fs CARROLL 
1323.0,,5,,"[-89.38155697266535, 43.07637905618432]",91007.0,43.07637906,-89.38155697,EB EAST WASH fs WEBSTER 
1927.0,,6,,"[-89.37509545016802, 43.08078584893633]",91008.0,43.08078585,-89.37509545,EB EAST WASH ns LIVINGSTON
1883.0,Pull out if no bus lane,7,,"[-89.36593697598981, 43.08735905313169]",91010.0,43.08735905,-89.36593698,EB EAST WASH fs BALDWIN 
1730.0,,8,,"[-89.3665759749017, 43.087268053929414]",92010.0,43.08726805,-89.36657597,WB EAST WASH fs BALDWIN 
1392.0,,9,,"[-89.37519429589811, 43.08130265589548]",92008.0,43.08130266,-89.3751943,WB EAST WASH ns LIVINGSTON
1618.0,,10,,"[-89.3823999720256, 43.076026056146844]",92007.0,43.07602606,-89.38239997,WB EAST WASH fs WEBSTER 
1100.0,,11,,"[-89.38470097186968, 43.07603705607895]",92006.0,43.07603706,-89.38470097,WB MIFFLIN fs PINCKNEY 
898.0,,12,,"[-89.3895689696375, 43.07480305710504]",92005.0,43.07480306,-89.38956897,WB STATE ns W JOHNSON 
100.0,,13,,"[-89.39890362724762, 43.07332522449718]",92003.0,43.07332523,-89.39890363,WB UNIV AVE ns E CAMPUS MALL
178.0,,14,,"[-89.40704996458905, 43.07341905832253]",92002.0,43.07341906,-89.40704996,WB UNIV AVE op ORCHARD 
1241.0,,15,,"[-89.35934697689925, 43.09197305210462]",21001.0,43.09197305,-89.35934698,EB EAST WASH ns FIRST 
1141.0,,16,,"[-89.35411097864782, 43.095906051880945]",21002.0,43.09590605,-89.35411098,EB EAST WASH ns FOURTH 
1311.0,,17,,"[-89.34840297924481, 43.10051905029499]",21003.0,43.10051905,-89.34840298,EB EAST WASH fs MILWAUKEE 
1481.0,,18,,"[-89.34158598088986, 43.104292049800975]",21004.0,43.10429205,-89.34158598,EB EAST WASH fs MARQUETTE 
9339.0,,19,,"[-89.33549898230685, 43.109279048048485]",21005.0,43.10927905,-89.33549898,EB EAST WASH fs RETHKE 
9405.0,,20,,"[-89.33051698293413, 43.113915047501195]",21006.0,43.11391505,-89.33051698,NB WRIGHT op CARPENTER 
9675.0,,21,,"[-89.32993198308071, 43.12004204585371]",21007.0,43.12004205,-89.32993198,EB ANDERSON fs WRIGHT 
9573.0,,22,,"[-89.32103698580823, 43.11897004572504]",21008.0,43.11897005,-89.32103699,EB EAST WASH fs MENDOTA 
9587.0,Relo to far side,23,,"[-89.31387598679096, 43.12382304503718]",21009.0,43.12382305,-89.31387599,EB EAST WASH fs THIERER
9801.0,Layover,24,,"[-89.30718585356887, 43.1261118427138]",21010.0,43.12611184,-89.30718585,EB E TOWNE RNG at SHELTER 
9152.0,,25,,"[-89.31531498680684, 43.12324504466804]",22009.0,43.12324505,-89.31531499,WB EAST WASH ns PARKSIDE 
9554.0,,26,,"[-89.32134498527331, 43.119157045876584]",22008.0,43.11915705,-89.32134499,WB EAST WASH ns MENDOTA
9438.0,Relo east to allow for left turn,27,,"[-89.32986798263191, 43.12017604638252]",22007.0,43.12017605,-89.32986798,WB ANDERSON ns WRIGHT 
9378.0,,28,,"[-89.33073498322534, 43.11379404726393]",22006.0,43.11379405,-89.33073498,SB WRIGHT fs CARPENTER 
9552.0,Relo to far side,29,,"[-89.33633798240304, 43.109015048162696]",22005.0,43.10901505,-89.33633798,WB E WASHINGTON AVE fs MELVIN
1938.0,Pull out if no bus lane,30,,"[-89.34189398115679, 43.10457804919359]",22004.0,43.10457805,-89.34189398,WB EAST WASH ns MARQUETTE 
1112.0,,31,,"[-89.34920997941687, 43.100133050096936]",22003.0,43.10013305,-89.34920998,WB EAST WASH fs NORTH 
1488.0,,32,,"[-89.3540239779367, 43.0963650516076]",22002.0,43.09636505,-89.35402398,WB EAST WASH ns FOURTH 
1350.0,,33,,"[-89.36003097713055, 43.09198505231188]",22001.0,43.09198505,-89.36003098,WB EAST WASH fs FIRST 
1177.0,,34,,"[-89.3635779753568, 43.096787052029576]",41001.0,43.09678705,-89.36357798,NB FORDEM ns LAKEWOOD 
1923.0,Relo to far side.  Number system skips 002 in case stop added south of Commercial.,35,,"[-89.36378397470385, 43.107072050317434]",41003.0,43.10707205,-89.36378397,NB N SHERMAN fs COMMERCIAL
1341.0,Configuration of NTP to be determined,36,,"[-89.36367197404067, 43.114009048757524]",41004.0,43.11400905,-89.36367197,NB N SHERMAN ns ABERG 
5407.0,Melrose stops moved south.  These were not included in feasibility study but may be needed.,37,,"[-89.36356397322483, 43.12245904731064]",41006.0,43.12245905,-89.36356397,NB N SHERMAN fs VAHLEN
5683.0,,38,,"[-89.36346397276834, 43.12628704712976]",41007.0,43.12628705,-89.36346397,NB N SHERMAN op TRAILSWAY 
5823.0,,39,,"[-89.36339867764173, 43.12899231404145]",41008.0,43.12899231,-89.36339868,NB SHERMAN AT WARNER PARK
5162.0,,40,,"[-89.36367985151688, 43.13001325322758]",42008.0,43.13001325,-89.36367985,SB SHERMANT AT WARNER PARK
5382.0,,41,,"[-89.36370097245504, 43.12634504720429]",42007.0,43.12634505,-89.36370097,SB N SHERMAN ns TRAILSWAY 
5358.0,Melrose stops moved south.  These were not included in feasibility study but may be needed.,42,,"[-89.3637549733112, 43.12181104791899]",42006.0,43.12181105,-89.36375497,SB N SHERMAN fs VAHLEN
1922.0,Configuration of NTP to be determined,43,,"[-89.36348261772456, 43.113766223751725]",42004.0,43.11376622,-89.36348262,SB N SHERMAN fs ABERG 
1156.0,Number system skips 002 in case stop added south of Commercial.,44,,"[-89.36397397390863, 43.10703205048498]",42003.0,43.10703205,-89.36397397,SB N SHERMAN ns COMMERCIAL
1116.0,Relo to far side,45,,"[-89.36368197567339, 43.09657305179013]",42001.0,43.09657305,-89.36368198,SB FORDEM fs LAKEWOOD
546.0,,46,,"[-89.40109496698649, 43.06735205874142]",31002.0,43.06735206,-89.40109497,SB S PARK fs REGENT 
840.0,,47,,"[-89.40094096825995, 43.06292905972144]",31003.0,43.06292906,-89.40094097,SB S PARK fs VILAS 
288.0,,48,,"[-89.40096796778724, 43.05966705967988]",31004.0,43.05966706,-89.40096797,SB S PARK fs ERIN 
