DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
20664.92,564,43.12573,-89.349732,8294,0.0,0.0,NB International fs American ,9493,0.0,0.0,4.13,4.13,0,0,"[-89.34972597708202, 43.125722046747484]"
53519.45,588,43.135627,-89.315817,8295,2.5,2.5,SB Portage ns Rieder ,9494,0.0,0.0,10.7,10.7,0,0,"[-89.31581098580168, 43.13561904325706]"
15890.11,576,43.132754,-89.287898,8296,2.52,2.52,SB City View ns Wall ,9498,2.56,2.56,3.18,3.18,0,0,"[-89.28789199425447, 43.13274604185156]"
0.0,1008,43.142573,-89.284234,8297,0.0,0.0,EB Hi Crossing ns Cross Hill ,9501,0.0,0.0,0.0,0.0,0,0,"[-89.28422799440963, 43.14256503991834]"
558.51,136,43.131871,-89.347168,8298,0.0,0.0,NB International at Air Frt ,9503,0.0,0.0,0.11,0.11,0,0,"[-89.34716197660946, 43.13186304474148]"
1672.48,150,43.131605,-89.303456,8299,0.5,0.5,WB East Wash fs E Springs ,9520,0.5,0.5,0.33,0.33,0,0,"[-89.30344998953206, 43.131597042657155]"
21223.43,891,43.121095,-89.31558,8300,4.0,4.0,WB Lien fs Parkside ,9524,0.51,0.51,4.24,4.24,0,0,"[-89.31557398673348, 43.12108704483438]"
18832.72,597,43.144008,-89.295464,8301,3.02,3.02,EB W Terrace fs Eastpark ,9527,3.08,3.08,3.77,3.77,0,0,"[-89.2954579912364, 43.144000040095136]"
111580.24,556,43.120882,-89.306933,8302,10.06,10.06,EB Lien fs Eagan ,9531,9.04,9.04,22.32,22.32,0,0,"[-89.30692699013434, 43.12087404471017]"
558.51,942,43.120655,-89.337039,8303,0.0,0.0,WB Anderson ns Pearson ,9532,0.0,0.0,0.11,0.11,0,0,"[-89.33703298034982, 43.12064704614673]"
144948.5,570,43.130465,-89.310228,8304,4.5,4.5,EB Melody ns Independence ,9545,5.51,5.51,28.99,28.99,0,0,"[-89.31022198756474, 43.13045704330421]"
7804.92,159,43.142305,-89.303289,8305,1.0,1.0,EB Hayes at Morningside Apt ,9549,1.5,1.5,1.56,1.56,0,0,"[-89.30328298805111, 43.14229704130667]"
83716.68,553,43.11743,-89.323306,8306,8.0,8.0,EB East Wash fs Mac Arthur ,9551,4.55,4.55,16.74,16.74,0,0,"[-89.32329998519207, 43.11742204584004]"
239165.03,920,43.109372,-89.335929,8307,24.52,24.52,WB East Wash ns Melvin ,9552,22.54,22.54,47.83,47.83,0,0,"[-89.33592298269863, 43.1093640486086]"
402677.97,888,43.118826,-89.321909,8308,48.53,48.53,WB East Wash fs Mendota ,9554,27.61,27.61,80.54,80.54,0,0,"[-89.32190298603048, 43.11881804596938]"
16755.34,563,43.123627,-89.351847,8309,0.0,0.0,SB International fs Anderson ,9562,0.0,0.0,3.35,3.35,0,0,"[-89.35184097626185, 43.12361904670204]"
11202.19,885,43.112332,-89.330638,8310,0.0,0.0,SB N Fair Oaks fs East Wash ,9564,0.0,0.0,2.24,2.24,0,0,"[-89.33063198327538, 43.11232404769448]"
42927.06,568,43.128772,-89.309428,8311,6.51,6.51,SB Independence fs Dwight ,9566,3.0,3.0,8.59,8.59,0,0,"[-89.30942198822197, 43.12876404367526]"
2248.84,179,43.103793,-89.300429,8312,0.0,0.0,SB N Thompson fs Swanton ,9568,0.0,0.0,0.45,0.45,0,0,"[-89.30042299316861, 43.10378504717069]"
59133.04,888,43.118942,-89.321031,8313,14.5,14.5,EB East Wash fs Mendota ,9573,9.59,9.59,11.83,11.83,0,0,"[-89.32102498535225, 43.118934045693415]"
17655.68,162,43.143923,-89.291065,8314,0.0,0.0,EB E Terrace op Herzing Univ ,9581,0.0,0.0,3.53,3.53,0,0,"[-89.2910589917207, 43.143915040139504]"
11149.88,892,43.123735,-89.313995,8315,1.0,1.0,EB East Wash fs Portage ,9587,1.0,1.0,2.23,2.23,0,0,"[-89.31398898682595, 43.12372704422142]"
26764.07,896,43.127957,-89.308713,8316,2.5,2.5,WB East Wash fs Independence ,9588,0.0,0.0,5.35,5.35,0,0,"[-89.30870698847465, 43.12794904365748]"
10042.22,534,43.106564,-89.305043,8317,2.01,2.01,EB Commercial ns Redland ,9591,2.01,2.01,2.01,2.01,0,0,"[-89.30503699201712, 43.10655604700364]"
0.0,605,43.152299,-89.286538,8318,0.0,0.0,NB American fs American Fam ,9595,0.0,0.0,0.0,0.0,0,0,"[-89.28653199212305, 43.152291038634765]"
20239.52,178,43.102625,-89.296084,8319,0.0,0.0,WB N Thompson at Meadows Apt ,9604,0.0,0.0,4.05,4.05,0,0,"[-89.29607799431898, 43.10261704716514]"
1765.57,574,43.132398,-89.290345,8320,0.0,0.0,NB Crossroads fs Wall ,9615,0.0,0.0,0.35,0.35,0,0,"[-89.29033899384285, 43.13239004189699]"
65992.37,153,43.127889,-89.293665,8321,3.5,3.5,WB E Springs at Menards ,9620,5.0,5.0,13.2,13.2,0,0,"[-89.29365899261485, 43.12788104309939]"
18968.64,1018,43.10838,-89.314377,8322,6.03,6.03,EB Nakoosa fs Commercial ,9629,1.51,1.51,3.79,3.79,0,0,"[-89.31437098927789, 43.10837204705666]"
6697.39,603,43.150261,-89.290014,8323,0.0,0.0,SB American fs Buttonwood ,9630,0.0,0.0,1.34,1.34,0,0,"[-89.29000799200443, 43.15025303931746]"
25087.24,904,43.14254,-89.305995,8324,4.5,4.5,EB Hayes fs Portage ,9633,1.5,1.5,5.02,5.02,0,0,"[-89.30598898808897, 43.14253204116491]"
26779.26,886,43.11593,-89.296467,8325,2.51,2.51,SB N Thompson ns Oak Valley ,9636,3.01,3.01,5.36,5.36,0,0,"[-89.29646099347313, 43.1159220448961]"
151100.7,887,43.117167,-89.330718,8326,2.5,2.5,SB Wright ns Straubel ,9642,1.01,1.01,30.22,30.22,0,0,"[-89.33071198324842, 43.117159046787194]"
